,answerid,parentid,username,userid,context,time,vote
10,74585040,74584948,Krelq,15000290,"You should add a ""WHERE"" param to your query. Now you are trying to select each exam from the database instead of selecting the ones assigned to the user
Example
SELECT id, title, no_questions, points, schedule, time_limit, link FROM exams WHERE user_id = 1
Change ""user_id"" parameter to one from your database or create it in order to assign exam to student. And you should dynamic replace ""1"" with ID from user session.
https://www.w3schools.com/mysql/mysql_where.asp",2022-11-26 19:29:32Z,0
11,,74584946,,,,,
12,closed,74584945,closed,closed,closed,closed,closed
13,74584975,74584944,Blitva,4852315,"Edit: Figured it out. The mistake was that I was doing cleanup like so return () => newSocket.close(); and consequently returning a Socket<DefaultEventsMap, DefaultEventsMap> type.
Solution was to make the newsocket.close() call inside of curly braces so that the return value remains void, like so:
return () => {
  newSocket.close();
};
Would appreciate any further elaboration if my interpretation is faulty here.",2022-11-26 19:20:58Z,0
14,,74584942,,,,,
15,,74584940,,,,,
16,,74584939,,,,,
17,page note found,74584938,page note found,page note found,page note found,page note found,page note found
18,page note found,74584937,page note found,page note found,page note found,page note found,page note found
19,74585423,74584935,Dead Fox,20609023,"The recursive call inside the last 2 if statements should have:
R.getLeftChild() and R.getRightChild()
instead of:
root.getLeftChild() and root.getRightChild()",2022-11-26 20:33:38Z,0
20,,74584931,,,,,
21,74584958,74584930,chqrlie,4593267,"The c array is defined as a local variable in both the display and the data_entry_of_customers functions. The values entered are lost when the function returns and the contents of c in the display function are indeterminate producing undefined behavior (garbage output).
The program may seem to behave as expected if, by chance, the position and contents of the c array in both functions happens to be the same.
You should more the definition of the array to the main function and pass it to data_entry_of_customers() and display().
Here is a modified version:
#include <stdio.h>
#include <stdlib.h>
#include <string.h>

typedef struct Customer {
    char name[20];
    int date;
    int month;
    int year;
    int amount;
    int type_of_account;
} cus;

void display(int n, cus c[n]);
void data_entry_of_customers(int n, cus c[n]);

int main() {
    int n, choices;

    printf(""\n Enter the number of customers : "");
    if (scanf(""%d"", &n) != 1)
        return 1;
    cus cus_array[n];

    for (;;) {
        printf(""\n Enter your choice :"");
        if (scanf(""%d"", &choices) != 1)
            break;

        switch (choices) {
        case 1:
            data_entry_of_customers(n, cus_array);
            break;

        case 2:
            display(n, cus_array);
            break;

        case 3:
            return 0;

        default:
            printf(""\n Invalid Choice\n"");
            break;
        }
    }
    return 0;
}

void data_entry_of_customers(int n, cus c[n]) {
    for (int i = 0; i < n; i++) {
        printf(""\n Enter the name of the customer%d : "", i + 1);
        scanf(""%19s"", c[i].name);
        printf(""\n Enter the date when the account was opened by customer : "");
        scanf(""%d"", &c[i].date);
        printf(""\n Enter the month when the account was opened by customer : "");
        scanf(""%d"", &c[i].month);
        printf(""\n Enter the year when the account was opened by customer : "");
        scanf(""%d"", &c[i].year);
        printf(""\n Enter the amount deposited by the customer : "");
        scanf(""%d"", &c[i].amount);
    }
}

void display(int n, cus c[n]) {
    for (int i = 0; i < n; i++) {
        printf(""\n The name of the customer%d is %s"", i + 1, c[i].name);
        printf(""\n The date-month-year when the account was opened by customer%d is %d-%d-%d"", i + 1, c[i].date, c[i].month, c[i].year);
        printf(""\n The amount when the account was opened by customer%d is %d"", i + 1, c[i].amount);
        printf(""\n"");
    }
}
Note these remarks:
void display(int n, cus c[n]); defines a function that receives an int and a pointer to an array of cus structures. The prototype is equivalent to: void display(int n, cus c[]); and void display(int n, cus *c);... A possible improvement is to specify that the cus structures are not modified by the display function, thus change the prototype to void display(int n, const cus *c);
the return value of scanf should be tested to detect and handle invalid input. Writing separate functions to read a string and an integer would help make the code more reliable and readable.
Here is an alternate approach:
#include <stdio.h>
#include <stdlib.h>
#include <string.h>

typedef struct Customer {
    char name[20];
    int date;
    int month;
    int year;
    int amount;
    int type_of_account;
} cus;

char *enter_string(const char *prompt, char *dest, size_t size);
int enter_int(const char *prompt, int min, int max);

void display(int n, const cus *c);
void data_entry_of_customers(int n, cus *c);

int main() {
    int n = enter_int(""Enter the number of customers"", 1, 1000);
    cus cus_array[n];

    for (;;) {
        switch (enter_int(""Enter your choice"", 1, 3)) {
        case 1:
            data_entry_of_customers(n, cus_array);
            break;

        case 2:
            display(n, cus_array);
            break;

        case 3:
            return 0;
        }
    }
}

char *enter_string(const char *prompt, char *dest, size_t size) {
    int c;
    size_t i = 0;

    printf(""%s: "", prompt);
    fflush(stdout);
    while ((c = getchar()) != EOF && c != '\n') {
        if (i + 1 < size) {
            dest[i++] = (char)c;
        }
    }
    printf(""\n"");
    if (i == 0 && c == EOF) {
        printf(""unexpected end of file\n"");
        exit(1);
    }
    if (i < size)
        dest[i] = '\0';
    return dest;
}

int enter_int(const char *prompt, int min, int max) {
    int c, res, value;

    for (;;) {
        printf(""%s: "", prompt);
        fflush(stdout);
        res = scanf(""%d"", &value);
        while ((c = getchar()) != EOF && c != '\n')
            continue;
        printf(""\n"");
        if (res == 1) {
            if (value >= min && value <= max)
                return value;
            printf(""invalid value, must be between %d and %d\n"", min, max);
        } else {
            if (c == EOF) {
                printf(""unexpected end of file\n"");
                exit(1);
            }
            printf(""invalid input, enter a number between %d and %d\n"", min, max);
        }
    }
}

void data_entry_of_customers(int n, cus *c) {
    char prompt[80];
    for (int i = 0; i < n; i++) {
        snprintf(prompt, sizeof prompt, ""Enter the name of the customer%d"", i + 1);
        enter_string(prompt, c[i].name, sizeof(c[i].name));
        c[i].date = enter_int(""Enter the date when the account was opened by customer"",
                              1, 31);
        c[i].month = enter_int(""Enter the month when the account was opened by customer"",
                               1, 12);
        c[i].year = enter_int(""Enter the year when the account was opened by customer"",
                              1900, 2100);
        c[i].amount = enter_int(""Enter the amount disposited by the customer"",
                                0, 1000000000);
    }
}

void display(int n, const cus *c) {
    for (int i = 0; i < n; i++) {
        printf(""The name of the customer%d is %s\n"", i + 1, c[i].name);
        printf(""The date-month-year when the account was opened by customer%d is %d-%d-%d\n"",
               i + 1, c[i].date, c[i].month, c[i].year);
        printf(""The amount when the account was opened by customer%d is %d\n"",
               i + 1, c[i].amount);
        printf(""\n"");
    }
}",2022-11-27 15:01:01Z,4
22,,74584928,,,,,
23,74585112,74584926,Chris Hamilton,12914833,"You can get whether the checkbox is checked through e.target.checked rather than using a state variable. You also don't need to attach a value, you can just pass it directly, not that it matters.
Since you're filtering on multiple elements, this pattern isn't going to work either. You'll need to save all of your filters so you can remove one but keep the others when the box is unchecked. I like to use a Set for this purpose. You can then just filter the products on that set.
You also don't need to use state variables for constants that don't change.
Also, your ids and htmlFors need to be unique, or clicking on a label will always select the first box. It's simpler just to wrap the input with the label so you don't need to worry about it.
Stackblitz: https://stackblitz.com/edit/react-ts-9a9n67?file=App.tsx
const categories = [
  'electronics',
  'jewelery',
  ""men's clothing"",
  ""women's clothing"",
];

const allProducts = [
  {
    id: 1,
    title: 'Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops',
    price: 109.95,
    category: 'electronics',
    rating: { rate: 3.9, count: 120 },
  },
  {
    id: 2,
    title: 'Mens Casual Premium Slim Fit T-Shirts ',
    price: 22.3,
    category: ""men's clothing"",
    rating: { rate: 4.1, count: 259 },
  },
  {
    id: 3,
    title: 'Mens Cotton Jacket',
    price: 55.99,
    category: ""men's clothing"",
    rating: { rate: 4.7, count: 500 },
  },
  {
    id: 4,
    title: 'Womens Dress',
    price: 15.99,
    category: ""women's clothing"",
    rating: { rate: 2.1, count: 430 },
  },
  {
    id: 5,
    title:
      ""John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet"",
    price: 695,
    category: 'jewelery',
    rating: { rate: 4.6, count: 400 },
  },
];

export default function App() {
  let [categoryFilters, setcategoryFilters] = useState(new Set());

  function updateFilters(checked, categoryFilter) {
    if (checked)
      setcategoryFilters((prev) => new Set(prev).add(categoryFilter));
    if (!checked)
      setcategoryFilters((prev) => {
        const next = new Set(prev);
        next.delete(categoryFilter);
        return next;
      });
  }

  const filteredProducts =
    categoryFilters.size === 0
      ? allProducts
      : allProducts.filter((p) => categoryFilters.has(p.category));

  return (
    <div>
      <div className=""d-flex justify-content-evenly"">
        {categories.map((elm, index) => {
          return (
            <div className=""form-check ms-2"" key={index}>
              <label className=""form-check-label"">
                <input
                  className=""form-check-input""
                  type=""checkbox""
                  onChange={(e) => updateFilters(e.target.checked, elm)}
                />
                {elm}
              </label>
            </div>
          );
        })}
      </div>
      <div className=""d-flex flex-wrap"">
        {filteredProducts.map((prod) => {
          return (
            <div className=""card m-3"" style={{ width: '400px' }} key={prod.id}>
              <div className=""card-body"">
                <p className=""card-text"">Id: {prod.id}</p>
                <h3 className=""card-title"">Title: {prod.title}</h3>
                <p className=""card-text"">Price: {prod.price}</p>
                <p className=""card-text"">Category: {prod.category}</p>
                <p className=""card-text"">Rating: {prod.rating.rate}</p>
              </div>
            </div>
          );
        })}
      </div>
    </div>
  );
}",2022-11-26 20:33:42Z,1
24,74585141,74584926,codinn.dev,15755662,"Simple Solution (with updated data model for category array)
const [category, setCategory] = useState([{value : ""electronics"", isChecked: false},{value : ""jewelery"", isChecked: false},{value : ""men's clothing"", isChecked: false},{value : ""women's clothing"", isChecked: false}]);
  const [products, setProducts] = useState([
    {""id"":1,""title"":""Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops"",""price"":109.95,""category"":""electronics"", ""rating"":{""rate"":3.9,""count"":120}},
    {""id"":2,""title"":""Mens Casual Premium Slim Fit T-Shirts "",""price"":22.3, ""category"":""men's clothing"",""rating"":{""rate"":4.1,""count"":259}},
    {""id"":3,""title"":""Mens Cotton Jacket"",""price"":55.99, ""category"":""men's clothing"",""rating"":{""rate"":4.7,""count"":500}},
    {""id"":4,""title"":""Womens Dress"",""price"":15.99, ""category"":""women's clothing"" ,""rating"":{""rate"":2.1,""count"":430}},
    {""id"":5,""title"":""John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet"",""price"":695, ""category"":""jewelery"",""rating"":{""rate"":4.6,""count"":400}}
  ])

  let [newProducts, setNewProducts] = useState([]);

  const filterProducts = (e) => {
    const categories = [...category];
    const cat = categories.filter((cat)=>cat.value ===  e.target.value);
    cat[0].isChecked = e.target.checked;
    setCategory([...categories]);

    const tempProduct = [];
    for(let c of categories){
      if(c.isChecked){
        tempProduct.push(...products.filter((a) => a.category === c.value));
      }
    }

    setNewProducts([...tempProduct]);
  }

  return <div>
    <div className='d-flex justify-content-evenly'>
        {
            category.map((elm, index) => {
                return <div className=""form-check ms-2"" key={index}>
                    <input className=""form-check-input"" type=""checkbox"" value={elm.value} id=""flexCheckDefault"" onChange={filterProducts}/>
                    <label className=""form-check-label"" htmlFor=""flexCheckDefault"">
                        {elm.value}
                    </label>
                </div>
            })
        }
    </div>
    <div className='d-flex flex-wrap'>
    {
       (newProducts.length === 0 ? products : newProducts).map((prod) => {
        return  <div className='card m-3' style={{ width: ""400px"" }} key={prod.id}>
        <div className='card-body'>
            <p className='card-text'>Id: {prod.id}</p>
            <h3 className='card-title'>Title: {prod.title}</h3>
            <p className='card-text'>Price: {prod.price}</p>
            <p className='card-text'>Category: {prod.category}</p>
            <p className='card-text'>Rating: {prod.rating.rate}</p>
        </div>
    </div>

      })
    }
    </div>
   </div>",2022-11-26 19:48:10Z,1
25,74585222,74584926,John Li,20436957,"Here is a minimal solution works without useEffect or changing category and products.
A few issues that can be addressed in posted code:
Each input need to have an unique id which matches htmlFor on label for the pair to work together.
When filterProducts sets a new state value, it does not get the updated value in the same block. Only use this event to set the filters in toCheck.
The value type of toCheck can be an object of [category]: Boolean so each category can be filtered separately, and filters can be combined as well.
The original products can be filtered before mapped, so there is no need to keep another state of newProducts, or to modify products data.
Example (live demo: stackblitz)
import React, { useState } from 'react';
import './style.css';

export default function App() {
  const [category, setCategory] = useState([
    'electronics',
    'jewelery',
    ""men's clothing"",
    ""women's clothing"",
  ]);
  const [products, setProducts] = useState([
    {
      id: 1,
      title: 'Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops',
      price: 109.95,
      category: 'electronics',
      rating: { rate: 3.9, count: 120 },
    },
    {
      id: 2,
      title: 'Mens Casual Premium Slim Fit T-Shirts ',
      price: 22.3,
      category: ""men's clothing"",
      rating: { rate: 4.1, count: 259 },
    },
    {
      id: 3,
      title: 'Mens Cotton Jacket',
      price: 55.99,
      category: ""men's clothing"",
      rating: { rate: 4.7, count: 500 },
    },
    {
      id: 4,
      title: 'Womens Dress',
      price: 15.99,
      category: ""women's clothing"",
      rating: { rate: 2.1, count: 430 },
    },
    {
      id: 5,
      title:
        ""John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet"",
      price: 695,
      category: 'jewelery',
      rating: { rate: 4.6, count: 400 },
    },
  ]);

  const [toCheck, setToCheck] = useState({});

  const filterProducts = (value) =>
    setToCheck((prev) => {
      return { ...prev, [value]: !!!prev[value] };
    });

  return (
    <div>
      <div className=""d-flex justify-content-evenly"">
        {category.map((elm, index) => {
          return (
            <div className=""form-check ms-2"" key={index}>
              <input
                className=""form-check-input""
                type=""checkbox""
                value={elm}
                id={`flexCheckDefault-${index}`}
                onChange={(e) => filterProducts(e.target.value)}
              />
              <label
                className=""form-check-label""
                htmlFor={`flexCheckDefault-${index}`}
              >
                {elm}
              </label>
            </div>
          );
        })}
      </div>
      <div className=""d-flex flex-wrap"">
        {products
          .filter((prod) =>
            Object.keys(toCheck).length === 0 ? true : !!toCheck[prod.category]
          )
          .map((prod) => {
            return (
              <div
                className=""card m-3""
                style={{ width: '400px' }}
                key={prod.id}
              >
                <div className=""card-body"">
                  <p className=""card-text"">Id: {prod.id}</p>
                  <h3 className=""card-title"">Title: {prod.title}</h3>
                  <p className=""card-text"">Price: {prod.price}</p>
                  <p className=""card-text"">Category: {prod.category}</p>
                  <p className=""card-text"">Rating: {prod.rating.rate}</p>
                </div>
              </div>
            );
          })}
      </div>
    </div>
  );
}",2022-11-27 17:41:21Z,1
26,74591177,74584924,Marek Rozmus,6738911,"From the test I see that you are using react testing library. In this case you should ""interact"" with your component inside the test and check if the component reacts properly.
The test for spinner should be like that:
render the component
find the email input field and ""type"" there an email - use one of getBy* methods and then type with e.g. fireEvent.change(input, {target: {value: 'test@example.com'}})
find the password input field and ""type"" there a password - same as above
find the submit button and ""click"" it - use one of getBy* methods to find it and then use fireEvent to click it
this (I assume) should trigger your onSubmit which will call the handleLogin callback which will update the state and that will render the spinner.
check if spinner is in the document.
Most probably you would need some mocking for your userAccountAPI so it calls a mock function and not some real API. In here you can also mock that API to return whatever response you want and check if component displays correct content.",2022-11-27 15:15:27Z,0
27,,74584923,,,,,
28,,74584919,,,,,
29,74585477,74584917,Enfield li,16648127,"Custom hook names should always start with lower case use (see beta docs), so change to useMessage.",2022-11-26 20:46:12Z,0
30,74585569,74584917,Rohit Khandelwal,15220748,"There are two things which can resolve your problem, here:
First, name your hook with lowercase use and not uppercase. The reason for that is it is wrong according to the React docs.
Here, your UseMessage is not a custom hook for React, just a javascript function. Inside it, you are using useState which is a hook and React won't allow that. The reason is the next point.
Second, according to the rules of React you can utilise any hook only inside the body of a function component or inside the body of another hook function.",2022-11-26 21:02:53Z,0
31,74597413,74584914,dshukertjr,5458913,"One typical case for unsubscribing would be when a user goes to another page, and you are no longer displaying the incoming realtime data to the user. In such case, you might want to unsubscribe.
In general, you subscribe from the realtime notifications whenever you no longer need the realtime data. In some cases, you might want to keep the realtime listeners connected at all times, because it's a data that is used in every single page of your application. In this case, you don't have to think about unsubscribing from the listener.",2022-11-28 07:41:32Z,0
32,closed,74584907,closed,closed,closed,closed,closed
33,74585834,74584971,Alex Wauters,3544591,"You're missing a second argument, of type *[]*string for the versionStages. See on https://pkg.go.dev/github.com/aws/aws-cdk-go/awscdk/v2/awsrds#section-readme
// Grants reading the secret value to some role.
    GrantRead(grantee awsiam.IGrantable, versionStages *[]*string) awsiam.Grant",2022-11-26 21:49:26Z,0
34,page note found,74584970,page note found,page note found,page note found,page note found,page note found
35,,74584969,,,,,
36,74585193,74584967,Erik A,7296893,"Nz is an application-level function (technically, a method of the Access.Application object exposed as a function. It is unavailable for use in DAO.
CurrentDb.Execute is using DAO.
There are two rewrite possibilities:
Rewrite to avoid Nz:
IIF((SELECT 1 FROM tInfo WHERE tInfo.applicationID = tApplicant.applicationID) IS NOT NULL, 1, 0)
Or my preferred rewrite:
ORDER BY EXISTS(SELECT 1 FROM tInfo WHERE tInfo.applicationID = tApplicant.applicationID) DESC
Rewrite to DoCmd.RunSQL which does allow these functions (and suppress warnings as desired:
DoCmd.RunSQL sSQL",2022-11-26 19:55:58Z,2
37,74588843,74584967,Gustav,3527297,"First, Access might think that the subquery may return more than one record, thus Top 1 should be used.
Next, it makes no sense to order the records to be inserted, as records per definition carries no order unless you specify this in the target table or the query where that table is used as source.
Also, even if you insisted to sort the insert, Access can't do this, as it doesn't know the output for AM.
Thus, this will run:
sSQL = ""SELECT tApplicant.applicationID, tApplicant.name, tApplicant.ID, tPreferences.fld3, "" & _
       ""NZ((SELECT Top 1 1 FROM tInfo WHERE tInfo.applicationID = tApplicant.applicationID), 0) AS AM "" _
       ""INTO "" & sTable & "" FROM tPreferences INNER JOIN tApplicant "" & _
       ""ON tPreferences.IDapplic = tApplicant.applicationID "" & _
       ""WHERE tPreferences.IDposit = "" & rsRos!ID & "";""
CurrentDB.Execute sSQL, dbFailOnError
That said, Erik's suggestion to replace Nz with Exists is preferable as this will result in ""clean SQL"" which always will run faster:
sSQL = ""SELECT tApplicant.applicationID, tApplicant.name, tApplicant.ID, tPreferences.fld3, "" & _
       ""EXISTS (SELECT Top 1 1 FROM tInfo WHERE tInfo.applicationID = tApplicant.applicationID) AS AM "" _
       ""INTO "" & sTable & "" FROM tPreferences INNER JOIN tApplicant "" & _
       ""ON tPreferences.IDapplic = tApplicant.applicationID "" & _
       ""WHERE tPreferences.IDposit = "" & rsRos!ID & "";""
CurrentDB.Execute sSQL, dbFailOnError
Neither will this be sortable on AM. Also, it will in Access SQL return -1 and 0 for AM. To obtain 1, apply ABS:
sSQL = ""SELECT tApplicant.applicationID, tApplicant.name, tApplicant.ID, tPreferences.fld3, "" & _
       ""ABS(EXISTS (SELECT Top 1 1 FROM tInfo WHERE tInfo.applicationID = tApplicant.applicationID)) AS AM "" _
       ""INTO "" & sTable & "" FROM tPreferences INNER JOIN tApplicant "" & _
       ""ON tPreferences.IDapplic = tApplicant.applicationID "" & _
       ""WHERE tPreferences.IDposit = "" & rsRos!ID & "";""
CurrentDB.Execute sSQL, dbFailOnError",2022-11-27 09:22:30Z,2
38,74589711,74584967,dimitris,4037170,"@ErikA and @Gustav 's answers pointed me to the right direction. Thank you both for your time.
The problem in this case was that I tried to use a subquery in the ORDER BY clause. Which I found out now that is not allowed. eg. see here
More over, I found this question, which makes mine a possible duplicate. Here it is suggested to wrap the query.
So I firstly SELECT the data in no order with the subquery and then, INSERT INTO the new table using ORDER BY with the new column of the subquery.
So I'm posting what finally worked for me.
sSQL = ""SELECT * INTO "" & sTable & "" FROM ("" & _
       ""SELECT tApplicant.applicationID, tApplicant.name, tApplicant.ID, tProtimisi.fld3, "" & _
       ""NZ((SELECT 1 FROM tInfo WHERE tInfo.applicationID = tApplicant.applicationID), 0) AS AM "" & _
       ""FROM tPreferences INNER JOIN tApplicant "" & _
       ""ON tPreferences.IDapplic = tApplicant.applicationID "" & _
       ""WHERE tPreferences.IDposit = "" & rsRos!ID & "") "" & _
       ""ORDER BY AM DESC;""
CurrentDb.Execute sSQL, dbFailOnError",2022-11-27 11:42:30Z,1
39,74585049,74584965,KIKO Software,3986005,"I can see what you want to accomplish, but you're going about it the wrong way. You need to join the match_world twice with the teams_world table, once for the home team and once of the away team.
SELECT 
  match_world.id_match, 
  match_world.date_debut, 
  team_home.nom AS home_nom, 
  team_away.nom AS away_nom
FROM 
  match_world 
INNER JOIN 
  teams_world AS team_home 
  ON match_world.id_domicile = team_home.id_equipe 
INNER JOIN 
  teams_world AS team_away 
  ON match_world.id_exterieur = team_away.id_equipe
You were quite close. Note also that I like to write my queries in a way that they are easy to read, on several line, with indentations, and no abbreviations. This does not impact performance.
(query is untested, no guarantee of functionality given...)",2022-11-26 20:23:58Z,0
40,page note found,74584964,page note found,page note found,page note found,page note found,page note found
41,,74584960,,,,,
42,74585022,74584959,MaDa,838434,"Either (1) create a Spy instead of the AirportService and mock the getFileName() method:
service = Mockito.spy(new AirportService());
and then mock the desired method:
Mockito.doReturn((/* your value */)).when(service).getFileName();
or (2) create yet another class, this time extending the AirportService; there you can implement the getFileName so it returns your mock file name.",2022-11-26 19:37:23Z,0
43,page note found,74584957,page note found,page note found,page note found,page note found,page note found
44,closed,74584955,closed,closed,closed,closed,closed
45,,74584954,,,,,
46,74585428,74584953,Clegane,15415267,"Have you tried using explode before using crosstab ?
#import ast
#df['ColName2007.1099']=df['ColName2007.1099'].apply(ast.literal_eval)

df = df.explode('ColName2007.1099')
df = pd.crosstab(df['ColName2007.1099'],columns=df['Category'],margins=True)
print(df)
'''
Category          Class A  Class B  Class D  All
ColName2007.1099                                
org1                    2        3        1    6
org2                    3        2        2    7
org3                    2        1        0    3
org4                    1        0        1    2
All                     8        6        4   18
'''
Note, the data you gave as an example does not match your expected output (For example, there is no Class C in the data you provided. ). But it works correctly in the data you provided. If this is not what you want, please provide data that can be copied and pasted and compatible with the expected output.",2022-11-26 21:00:35Z,0
47,74585282,74584952,dcsuka,19512611,"Using cumsum with the lag condition produces your expected output:
df |>
  mutate(grp = cumsum(abs(bp - lag(bp, default = first(bp))) > 1e7)) |>
  group_by(chr, grp)  |>
  summarise(bp = mean(bp),
            across(starts_with(""instance""), sum),
            .groups = ""drop"")

# A tibble: 4 × 6
    chr   grp         bp instances_1 instances_2 instances_sum
  <int> <int>      <dbl>       <int>       <int>         <int>
1     1     0 144001090.           1           1             2
2     1     1 187773270            2           2             4
3     2     2 121819306.           3           1             4
4     2     3 259965687            1           1             2",2022-11-26 20:08:56Z,2
48,74585153,74584950,GoldenGateBridge,14404231,"The p value is stored in the p.value parameter of the T test. And to update rejects, you just do rejects = rejects + 1.
set.seed(5)
simulation <- function(n, mu, sigma, mu0, alpha) {
 rejects <- 0; S <- 100
 for(i in 1:S) {
 sample <- rnorm(n, mean=mu, sd=sigma)
 T=t.test(sample,mu=mu0)
 if (T$p.value < alpha) rejects = rejects+1
 }
 return(rejects)
 }",2022-11-26 19:49:48Z,1
49,48846044,48845989,heemayl,3789550,"As you have not defined a __repr__ (or __str__) on the class, it's inherited the one from the superclass -- object and that how its written there. So, all your class instances are expressed that way. As for the class itself, you need to change the __repr__/__str__ on the metaclass i.e. the class of which our class in question is an instance of; the default metaclass is type. __main__ is the name of the module, here as you are directly executing it, its being considered as a script and all scripts have the name __main__ in Python
There's a . in between because Fraction is an attribute of the script __main__, the module; and belongs to the module level scope
Example:
In [47]: class MyMeta(type):
    ...:     def __repr__(cls):
    ...:         return 'Whatever...'
    ...:     

In [48]: class MyClass(metaclass=MyMeta):
    ...:     def __repr__(self):
    ...:         return 'Howdy...'
    ...:     

In [49]: obj = MyClass()

In [50]: print(obj)
Howdy...

In [51]: print(type(obj))
Whatever...
For Python2, you need to define __metaclass__ as a class attribute.",2018-02-17 21:42:04Z,12
50,48845999,48845989,Ignacio Vazquez-Abrams,20862,"The name of the script being run is always __main__. This is why you check for this specific name, and why classes defined in the script are attributes of it.",2018-02-17 21:15:08Z,7
51,74585040,74584948,Krelq,15000290,"You should add a ""WHERE"" param to your query. Now you are trying to select each exam from the database instead of selecting the ones assigned to the user
Example
SELECT id, title, no_questions, points, schedule, time_limit, link FROM exams WHERE user_id = 1
Change ""user_id"" parameter to one from your database or create it in order to assign exam to student. And you should dynamic replace ""1"" with ID from user session.
https://www.w3schools.com/mysql/mysql_where.asp",2022-11-26 19:29:32Z,0
52,,74584946,,,,,
53,closed,74584945,closed,closed,closed,closed,closed
54,74584975,74584944,Blitva,4852315,"Edit: Figured it out. The mistake was that I was doing cleanup like so return () => newSocket.close(); and consequently returning a Socket<DefaultEventsMap, DefaultEventsMap> type.
Solution was to make the newsocket.close() call inside of curly braces so that the return value remains void, like so:
return () => {
  newSocket.close();
};
Would appreciate any further elaboration if my interpretation is faulty here.",2022-11-26 19:20:58Z,0
55,,74584942,,,,,
56,,74584940,,,,,
57,,74584939,,,,,
58,page note found,74584938,page note found,page note found,page note found,page note found,page note found
59,page note found,74584937,page note found,page note found,page note found,page note found,page note found
60,74585423,74584935,Dead Fox,20609023,"The recursive call inside the last 2 if statements should have:
R.getLeftChild() and R.getRightChild()
instead of:
root.getLeftChild() and root.getRightChild()",2022-11-26 20:33:38Z,0
